"","m","N","n","n_prime","K.i","K","varkappa.v","varkappa.u"
"1",1,600,4,4,1,151,0.0222151631242292,0.036471771717112
"2",1,600,4,4,2,201,0.0145727935107185,0.0284982961296616
"3",1,600,4,4,3,251,0.0106794436837497,0.0215957612266608
"4",2,600,3,5,1,151,0.0224294464241817,0.0373014753876973
"5",2,600,3,5,2,201,0.0155218381798437,0.0278455810400583
"6",2,600,3,5,3,251,0.0121031327816106,0.0223563058216505
"7",3,600,4,4,1,151,0.0181938741891167,0.0361690051889716
"8",3,600,4,4,2,201,0.0120579945827947,0.0284059079457307
"9",3,600,4,4,3,251,0.0124865773817574,0.0216312390750339
"10",4,600,3,5,1,151,0.0200852508169551,0.0363416341499046
"11",4,600,3,5,2,201,0.0145053749545046,0.0275164385596751
"12",4,600,3,5,3,251,0.013087141673409,0.0209830228062653
