"","m","N","n","n_prime","K.i","K","varkappa.v","varkappa.u"
"1",1,600,4,4,1,1,0.526143629597241,0.572411863756844
"2",1,600,4,4,2,26,0.098601873080618,0.160002885317552
"3",1,600,4,4,3,51,0.0544751084571851,0.0906670360025832
"4",1,600,4,4,4,76,0.0341854661600548,0.0664246236397609
"5",1,600,4,4,5,101,0.0312227401033352,0.0522386047166624
"6",2,600,3,5,1,1,0.488379078457232,0.561311536151962
"7",2,600,3,5,2,26,0.099486130463001,0.164430396356188
"8",2,600,3,5,3,51,0.0521119395743982,0.0936724968368756
"9",2,600,3,5,4,76,0.039673806601112,0.0696041012985415
"10",2,600,3,5,5,101,0.0306215400321712,0.0535670110295588
"11",3,600,4,4,1,1,0.489861086449394,0.581645188170658
"12",3,600,4,4,2,26,0.106461531677489,0.153982083879469
"13",3,600,4,4,3,51,0.0514166648176112,0.0939749555831342
"14",3,600,4,4,4,76,0.0355813542448299,0.0620155662088904
"15",3,600,4,4,5,101,0.0313029226967933,0.0562130650024136
"16",4,600,3,5,1,1,0.501315426932811,0.564542747460688
"17",4,600,3,5,2,26,0.0867984248210985,0.156743457577755
"18",4,600,3,5,3,51,0.0530985654006251,0.095886275800628
"19",4,600,3,5,4,76,0.0361209687620188,0.0660499106406525
"20",4,600,3,5,5,101,0.0288126746654164,0.0509054753513898
"21",5,600,3,5,1,1,0.499949877215963,0.589274224223802
"22",5,600,3,5,2,26,0.0728396281211931,0.122700709092255
"23",5,600,3,5,3,51,0.0460968708901608,0.0881920509876216
"24",5,600,3,5,4,76,0.0323817987090826,0.06037820558161
"25",5,600,3,5,5,101,0.0252523894301216,0.0514147000150401
"26",6,600,3,5,1,1,0.47440921786595,0.374773039577869
"27",6,600,3,5,2,26,0.079764512746001,0.119813899418861
"28",6,600,3,5,3,51,0.0438136890826766,0.0771556941835769
"29",6,600,3,5,4,76,0.0313578689818917,0.0554998779122089
"30",6,600,3,5,5,101,0.0250959794682512,0.0494402260865473
